match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner,Player_1,Player_2,Pl_1_hand,Pl_2_hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best_of,Final_TB?,Charted_by,High_Leverage,focal_is_p1,Focal_Player,Opponent_Player,Point_Won,Next_Point_Won,Focal_Ranking,Opponent_Ranking,Ranking_Diff
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,46,0,0,2,5,15-30,8.0,True,2,4b3w#,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,47,0,0,2,5,30-30,8.0,True,2,6n,5f19f3n#,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,48,0,0,2,5,30-40,8.0,True,2,4d,4b28f3b3b-2t2d#,t= behind the back shot,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,49,0,0,2,5,40-40,8.0,True,2,5d,5b28f1f1f1f3d@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,50,0,0,2,5,AD-40,8.0,True,2,6n,4b38f2f2f1f1f2b1n@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,51,0,1,0,0,0-0,9.0,True,1,4f28b3b2f1f1f3w@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,52,0,1,0,0,0-15,9.0,True,1,4x,4b39b;2f3s2o-1*,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,53,0,1,0,0,0-30,9.0,True,1,4d,5b1w#,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,54,0,1,0,0,15-30,9.0,True,1,6r29f3b3b1f3b3b2b1f1f1f3b3b3s1f1f2f2b2b3*,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,55,0,1,0,0,15-40,9.0,True,1,4d,5d,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,56,0,1,0,1,0-0,10.0,True,2,4r28b3b3b2d@,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,57,0,1,0,1,0-15,10.0,True,2,4w,6d,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,58,0,1,0,1,0-30,10.0,True,2,6d,5b28f2f+1r3z3*,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,59,0,1,0,1,0-40,10.0,True,2,6*,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,60,0,1,0,1,15-40,10.0,True,2,6n,4w,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,61,0,1,1,1,0-0,11.0,True,1,4n,5f18f2f2b2f1f1f1f3*,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,62,0,1,1,1,15-0,11.0,True,1,4b29f2f3b3n@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,63,0,1,1,1,15-15,11.0,True,1,4f1w#,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,64,0,1,1,1,30-15,11.0,True,1,6f28y1n@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,65,0,1,1,1,30-30,11.0,True,1,4f27f3*,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,66,0,1,1,1,40-30,11.0,True,1,6n,4b3x#,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,67,0,1,2,1,0-0,12.0,True,2,6d,5b3n#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,68,0,1,2,1,15-0,12.0,True,2,6d,4b3d#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,69,0,1,2,1,30-0,12.0,True,2,6x,4r27s-1f1w#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,70,0,1,2,1,40-0,12.0,True,2,6n,6r27f-1f2o-3*,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,71,0,1,2,2,0-0,13.0,True,1,4f38b2d@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,72,0,1,2,2,0-15,13.0,True,1,c6r29f1f3b3w@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,73,0,1,2,2,0-30,13.0,True,1,6n,5b28b2n@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,74,0,1,2,2,0-40,13.0,True,1,6f39b3s3w@,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,75,0,1,2,2,15-40,13.0,True,1,c4x,5b39b3b3b1*,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,76,0,1,2,2,30-40,13.0,True,1,6d,5b27f3w@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,77,0,1,2,3,0-0,14.0,True,2,6*,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
